Distict,Subgroup,School Year,Chronic Rate,Attendance Rate
A+ Arts Academy - 000556 (Franklin),All Students,2023,80.3%,79.7%
A+ Children'S Academy - 013232 (Franklin),All Students,2023,46.3%,87.7%
Academy For Urban Scholars Youngstown - 013249 (Mahoning),All Students,2023,14.7%,93.3%
Achieve Career Preparatory Academy - 011507 (Lucas),All Students,2023,87.5%,61.2%
Achievepoint Career Academy - Cincinnati - 017275 (Hamilton),All Students,2023,95.3%,64.9%
Ada Exempted Village - 045187 (Hardin),All Students,2023,17.2%,93.4%
Adams County Ohio Valley Local - 061903 (Adams),All Students,2023,31.2%,90.9%
Adena Local - 049494 (Ross),All Students,2023,18.2%,93.1%
Akron Career Tech High School - 019427 (Summit),All Students,2023,94.4%,63.9%
Akron City - 043489 (Summit),All Students,2023,47.3%,85.7%
Akron Preparatory School - 013254 (Summit),All Students,2023,64.8%,84.3%
Akros Middle School - 012060 (Summit),All Students,2023,48.3%,87.6%
"Albert Einstein Academy For Letters, Arts And Sciences-Ohio - 013994 (Cuyahoga)",All Students,2023,43.9%,88.3%
Alexander Local - 045906 (Athens),All Students,2023,19.0%,92.6%
Allen East Local - 045757 (Allen),All Students,2023,14.2%,93.8%
Alliance Academy Of Cincinnati - 000139 (Hamilton),All Students,2023,55.2%,86.6%
Alliance City - 043497 (Stark),All Students,2023,35.9%,89.4%
"Alliance Community Schools, Inc. Dba Dayton Leadership Acade - 133454 (Montgomery)",All Students,2023,47.5%,88.8%
Alternative Education Academy Dba Ohdela - 143396 (Summit),All Students,2023,5.1%,95.0%
Amanda-Clearcreek Local - 046847 (Fairfield),All Students,2023,25.1%,91.6%
Amherst Exempted Village - 045195 (Lorain),All Students,2023,17.7%,93.0%
Ann Jerkins-Harris Academy Of Excellence - 013195 (Lucas),All Students,2023,24.6%,93.0%
Anna Local - 049759 (Shelby),All Students,2023,7.2%,95.6%
Ansonia Local - 046623 (Darke),All Students,2023,12.4%,94.7%
Anthony Wayne Local - 048207 (Lucas),All Students,2023,11.1%,94.5%
Antwerp Local - 048991 (Paulding),All Students,2023,17.4%,93.8%
Apex Academy - 000560 (Cuyahoga),All Students,2023,44.1%,88.7%
Arcadia Local - 047415 (Hancock),All Students,2023,7.4%,95.1%
Arcanum-Butler Local - 046631 (Darke),All Students,2023,10.5%,95.1%
Archbold-Area Local - 047043 (Fulton),All Students,2023,10.4%,94.6%
Arlington Local - 047423 (Hancock),All Students,2023,14.9%,93.9%
Arts & College Preparatory Academy - 143610 (Franklin),All Students,2023,54.1%,85.8%
Ashland City - 043505 (Ashland),All Students,2023,17.3%,93.3%
Ashland County Community Academy - 009971 (Ashland),All Students,2023,77.6%,77.3%
Ashtabula Area City - 043513 (Ashtabula),All Students,2023,49.4%,87.0%
Athens City - 043521 (Athens),All Students,2023,30.1%,90.4%
Auglaize County Educational Academy - 000288 (Auglaize),All Students,2023,0.0%,100.0%
Aurora City - 049171 (Portage),All Students,2023,10.6%,94.3%
Austintown Local Schools - 048298 (Mahoning),All Students,2023,29.2%,91.3%
Autism Model School - 134122 (Lucas),All Students,2023,48.4%,85.8%
Avon Lake City - 048124 (Lorain),All Students,2023,13.8%,93.7%
Avon Local - 048116 (Lorain),All Students,2023,10.6%,94.4%
Ayersville Local - 046706 (Defiance),All Students,2023,9.8%,95.0%
Barberton City - 043539 (Summit),All Students,2023,39.1%,88.6%
Barnesville Exempted Village - 045203 (Belmont),All Students,2023,28.1%,91.5%
Batavia Local - 046300 (Clermont),All Students,2023,28.2%,91.3%
Bath Local - 045765 (Allen),All Students,2023,16.5%,93.5%
Bay Village City - 043547 (Cuyahoga),All Students,2023,10.9%,94.5%
Beachwood City - 043554 (Cuyahoga),All Students,2023,20.6%,93.1%
Beacon Academy - 015709 (Stark),All Students,2023,50.3%,87.2%
Beacon Hill Academy - 012501 (Wayne),All Students,2023,10.6%,95.3%
Beaver Local - 046425 (Columbiana),All Students,2023,26.1%,92.0%
Beavercreek City - 047241 (Greene),All Students,2023,13.8%,94.0%
