District,Subgroup,Graduates,Non-Graduates,4-Year Graduation Rate,Cohort Year
Academy For Urban Scholars Youngstown - 013249 (Mahoning),All Students,46,33,58.2%,Class of 2022
Achieve Career Preparatory Academy - 011507 (Lucas),All Students,9,28,24.3%,Class of 2022
Achievepoint Career Academy - Cincinnati - 017275 (Hamilton),All Students,32,56,36.4%,Class of 2022
Ada Exempted Village - 045187 (Hardin),All Students,64,4,94.1%,Class of 2022
Adams County Ohio Valley Local - 061903 (Adams),All Students,268,37,87.9%,Class of 2022
Adena Local - 049494 (Ross),All Students,84,9,90.3%,Class of 2022
Akron Career Tech High School - 019427 (Summit),All Students,<10,<10,<10,Class of 2022
Akron City - 043489 (Summit),All Students,1298,210,86.1%,Class of 2022
"Albert Einstein Academy For Letters, Arts And Sciences-Ohio - 013994 (Cuyahoga)",All Students,30,9,76.9%,Class of 2022
Alexander Local - 045906 (Athens),All Students,104,4,96.3%,Class of 2022
Allen East Local - 045757 (Allen),All Students,94,3,96.9%,Class of 2022
Alliance City - 043497 (Stark),All Students,212,30,87.6%,Class of 2022
Alternative Education Academy Dba Ohdela - 143396 (Summit),All Students,234,672,25.8%,Class of 2022
Amanda-Clearcreek Local - 046847 (Fairfield),All Students,106,9,92.2%,Class of 2022
Amherst Exempted Village - 045195 (Lorain),All Students,318,13,96.1%,Class of 2022
Anna Local - 049759 (Shelby),All Students,83,4,95.4%,Class of 2022
Ansonia Local - 046623 (Darke),All Students,51,1,98.1%,Class of 2022
Anthony Wayne Local - 048207 (Lucas),All Students,320,6,98.2%,Class of 2022
Antwerp Local - 048991 (Paulding),All Students,70,,100.0%,Class of 2022
Arcadia Local - 047415 (Hancock),All Students,40,,100.0%,Class of 2022
Arcanum-Butler Local - 046631 (Darke),All Students,85,,100.0%,Class of 2022
Archbold-Area Local - 047043 (Fulton),All Students,96,1,99.0%,Class of 2022
Arlington Local - 047423 (Hancock),All Students,36,2,94.7%,Class of 2022
Arts & College Preparatory Academy - 143610 (Franklin),All Students,89,2,97.8%,Class of 2022
Ashland City - 043505 (Ashland),All Students,221,13,94.4%,Class of 2022
Ashland County Community Academy - 009971 (Ashland),All Students,26,8,76.5%,Class of 2022
Ashtabula Area City - 043513 (Ashtabula),All Students,186,57,76.5%,Class of 2022
Athens City - 043521 (Athens),All Students,184,17,91.5%,Class of 2022
Auglaize County Educational Academy - 000288 (Allen),All Students,45,10,81.8%,Class of 2022
Aurora City - 049171 (Portage),All Students,244,6,97.6%,Class of 2022
Austintown Local Schools - 048298 (Mahoning),All Students,334,11,96.8%,Class of 2022
Autism Model School - 134122 (Lucas),All Students,4,8,33.3%,Class of 2022
Avon Lake City - 048124 (Lorain),All Students,327,10,97.0%,Class of 2022
Avon Local - 048116 (Lorain),All Students,376,9,97.7%,Class of 2022
Ayersville Local - 046706 (Defiance),All Students,64,1,98.5%,Class of 2022
Barberton City - 043539 (Summit),All Students,222,46,82.8%,Class of 2022
Barnesville Exempted Village - 045203 (Belmont),All Students,93,5,94.9%,Class of 2022
Batavia Local - 046300 (Clermont),All Students,135,12,91.8%,Class of 2022
Bath Local - 045765 (Allen),All Students,119,5,96.0%,Class of 2022
Bay Village City - 043547 (Cuyahoga),All Students,197,5,97.5%,Class of 2022
Beachwood City - 043554 (Cuyahoga),All Students,141,2,98.6%,Class of 2022
Beacon Hill Academy - 012501 (Wayne),All Students,<10,<10,<10,Class of 2022
Beaver Local - 046425 (Columbiana),All Students,123,5,96.1%,Class of 2022
Beavercreek City - 047241 (Greene),All Students,612,27,95.8%,Class of 2022
Bedford City - 043562 (Cuyahoga),All Students,210,30,87.5%,Class of 2022
Bellaire Local - 043570 (Belmont),All Students,78,7,91.8%,Class of 2022
Bellbrook-Sugarcreek Local - 047274 (Greene),All Students,227,7,97.0%,Class of 2022
Bellefontaine City - 043588 (Logan),All Students,191,10,95.0%,Class of 2022
Bellevue City - 043596 (Huron),All Students,141,4,97.2%,Class of 2022
Belpre City - 043604 (Washington),All Students,66,4,94.3%,Class of 2022
Benjamin Logan Local - 048074 (Logan),All Students,116,2,98.3%,Class of 2022
Benton Carroll Salem Local - 048926 (Ottawa),All Students,117,3,97.5%,Class of 2022
Berea City - 043612 (Cuyahoga),All Students,436,39,91.8%,Class of 2022
Berkshire Local - 047167 (Geauga),All Students,90,8,91.8%,Class of 2022
Berne Union Local - 046854 (Fairfield),All Students,67,1,98.5%,Class of 2022
Bethel Local - 048611 (Miami),All Students,113,7,94.2%,Class of 2022
Bethel-Tate Local - 046318 (Clermont),All Students,146,8,94.8%,Class of 2022
Bexley City - 043620 (Franklin),All Students,172,5,97.2%,Class of 2022
Big Walnut Local - 046748 (Delaware),All Students,296,11,96.4%,Class of 2022
Black River Career Prep High School - 142919 (Lorain),All Students,23,56,29.1%,Class of 2022
Black River Local - 048462 (Medina),All Students,88,4,95.7%,Class of 2022
Blanchester Local - 046383 (Clinton),All Students,124,2,98.4%,Class of 2022
Bloom-Carroll Local - 046862 (Fairfield),All Students,159,4,97.5%,Class of 2022
Bloomfield-Mespo Local - 050096 (Trumbull),All Students,19,,100.0%,Class of 2022
Bloom-Vernon Local - 049593 (Scioto),All Students,57,3,95.0%,Class of 2022
Bluffton Exempted Village - 045211 (Allen),All Students,76,4,95.0%,Class of 2022
Boardman Local - 048306 (Mahoning),All Students,339,15,95.8%,Class of 2022
Botkins Local - 049767 (Shelby),All Students,54,1,98.2%,Class of 2022
Bowling Green City School District - 043638 (Wood),All Students,233,8,96.7%,Class of 2022
Bradford Exempted Village - 045229 (Miami),All Students,33,2,94.3%,Class of 2022
Brecksville-Broadview Heights City - 043646 (Cuyahoga),All Students,293,10,96.7%,Class of 2022
Bridge Gate Community School - 015710 (Franklin),All Students,,10,,Class of 2022
Bridgeport Exempted Village - 045237 (Belmont),All Students,59,3,95.2%,Class of 2022
Bright Local - 047613 (Highland),All Students,52,,100.0%,Class of 2022
Bristol Local - 050112 (Trumbull),All Students,43,1,97.7%,Class of 2022
Brookfield Local - 050120 (Trumbull),All Students,74,5,93.7%,Class of 2022
Brooklyn City - 043653 (Cuyahoga),All Students,115,10,92.0%,Class of 2022
Brookville Local - 048678 (Montgomery),All Students,92,2,97.9%,Class of 2022
Brown Local - 046177 (Carroll),All Students,53,2,96.4%,Class of 2022
Brunswick City - 043661 (Medina),All Students,598,18,97.1%,Class of 2022
Bryan City - 043679 (Williams),All Students,161,7,95.8%,Class of 2022
Buckeye Central Local - 046508 (Crawford),All Students,60,1,98.4%,Class of 2022
Buckeye Community School - 019152 (Richland),All Students,36,78,31.6%,Class of 2022
Buckeye Community School - London - 019441 (Madison),All Students,6,27,18.2%,Class of 2022
Buckeye Community School - Marion - 019442 (Marion),All Students,33,42,44.0%,Class of 2022
Buckeye Local - 045856 (Ashtabula),All Students,136,23,85.5%,Class of 2022
Buckeye Local - 047787 (Jefferson),All Students,94,13,87.9%,Class of 2022
Buckeye Local - 048470 (Medina),All Students,186,3,98.4%,Class of 2022
Buckeye On-Line School For Success - 000417 (Columbiana),All Students,59,20,74.7%,Class of 2022
Buckeye United School District - 060988 (Franklin),All Students,9,113,7.4%,Class of 2022
Buckeye Valley Local - 046755 (Delaware),All Students,170,10,94.4%,Class of 2022
Bucyrus City - 043687 (Crawford),All Students,69,8,89.6%,Class of 2022
Caldwell Exempted Village - 045252 (Noble),All Students,53,1,98.1%,Class of 2022
Cambridge City - 043695 (Guernsey),All Students,137,17,89.0%,Class of 2022
Campbell City - 043703 (Mahoning),All Students,86,7,92.5%,Class of 2022
Canal Winchester Local - 046946 (Franklin),All Students,317,14,95.8%,Class of 2022
Canfield Local - 048314 (Mahoning),All Students,221,5,97.8%,Class of 2022
Canton City - 043711 (Stark),All Students,449,172,72.3%,Class of 2022
Canton Harbor High School - 000525 (Stark),All Students,33,35,48.5%,Class of 2022
Canton Local - 049833 (Stark),All Students,140,7,95.2%,Class of 2022
Capital City Career Prep High School - 000664 (Franklin),All Students,24,33,42.1%,Class of 2022
Capital High School - 012044 (Franklin),All Students,18,27,40.0%,Class of 2022
Cardinal Local - 047175 (Geauga),All Students,75,11,87.2%,Class of 2022
Cardington-Lincoln Local - 048793 (Morrow),All Students,75,5,93.8%,Class of 2022
Carey Exempted Village Schools - 045260 (Wyandot),All Students,74,1,98.7%,Class of 2022
Carlisle Local - 050419 (Warren),All Students,114,3,97.4%,Class of 2022
Carrollton Exempted Village - 045278 (Carroll),All Students,143,4,97.3%,Class of 2022
Cascade Career Prep High School - 008063 (Summit),All Students,13,30,30.2%,Class of 2022
Cedar Cliff Local - 047258 (Greene),All Students,55,2,96.5%,Class of 2022
Celina City - 043729 (Mercer),All Students,148,18,89.2%,Class of 2022
Centerburg Local - 047829 (Knox),All Students,79,9,89.8%,Class of 2022
Centerville City - 043737 (Montgomery),All Students,655,35,94.9%,Class of 2022
Central High School - 012041 (Franklin),All Students,6,37,14.0%,Class of 2022
Central Local - 046714 (Defiance),All Students,86,8,91.5%,Class of 2022
Chagrin Falls Exempted Village - 045286 (Cuyahoga),All Students,176,,100.0%,Class of 2022
Champion Local - 050138 (Trumbull),All Students,93,5,94.9%,Class of 2022
Chardon Local - 047183 (Geauga),All Students,234,12,95.1%,Class of 2022
Charles School At Ohio Dominican University - 007999 (Franklin),All Students,38,14,73.1%,Class of 2022
Chesapeake Union Exempted Village - 045294 (Lawrence),All Students,112,5,95.7%,Class of 2022
Chillicothe City - 043745 (Ross),All Students,179,43,80.6%,Class of 2022
Chippewa Local - 050534 (Wayne),All Students,105,9,92.1%,Class of 2022
Cincinnati College Preparatory Academy - 133512 (Hamilton),All Students,41,4,91.1%,Class of 2022
Cincinnati Public Schools - 043752 (Hamilton),All Students,1863,444,80.8%,Class of 2022
Cincinnati Technology Academy - 013864 (Hamilton),All Students,11,5,68.8%,Class of 2022
Circleville City - 043760 (Pickaway),All Students,148,11,93.1%,Class of 2022
Clark-Shawnee Local - 046284 (Clark),All Students,148,5,96.7%,Class of 2022
Clay Local - 049601 (Scioto),All Students,29,9,76.3%,Class of 2022
Claymont City - 043778 (Tuscarawas),All Students,114,15,88.4%,Class of 2022
Clear Fork Valley Local - 049411 (Richland),All Students,134,7,95.0%,Class of 2022
Clearview Local - 048132 (Lorain),All Students,106,10,91.4%,Class of 2022
Clermont Northeastern Local - 046326 (Clermont),All Students,107,9,92.2%,Class of 2022
Cleveland Academy For Scholarship Technology And Leadership - 000527 (Cuyahoga),All Students,38,72,34.5%,Class of 2022
Cleveland Heights-University Heights City - 043794 (Cuyahoga),All Students,330,41,88.9%,Class of 2022
Cleveland Municipal - 043786 (Cuyahoga),All Students,1864,641,74.4%,Class of 2022
Cleveland Preparatory Academy - 013199 (Cuyahoga),All Students,<10,<10,<10,Class of 2022
Cliff Park High School - 132795 (Clark),All Students,46,74,38.3%,Class of 2022
Clinton-Massie Local - 046391 (Clinton),All Students,146,6,96.1%,Class of 2022
Cloverleaf Local - 048488 (Medina),All Students,187,11,94.4%,Class of 2022
Clyde-Green Springs Exempted Village - 045302 (Sandusky),All Students,143,10,93.5%,Class of 2022
Coldwater Exempted Village - 045310 (Mercer),All Students,104,1,99.0%,Class of 2022
College Corner Local - 064964 (Preble),All Students,<10,<10,<10,Class of 2022
Colonel Crawford Local - 046516 (Crawford),All Students,85,,100.0%,Class of 2022
Columbia Local - 048140 (Lorain),All Students,84,2,97.7%,Class of 2022
Columbiana Exempted Village - 045328 (Columbiana),All Students,76,1,98.7%,Class of 2022
Columbus Arts & Technology Academy - 000557 (Franklin),All Students,8,2,80.0%,Class of 2022
Columbus City Schools District - 043802 (Franklin),All Students,2333,598,79.6%,Class of 2022
Columbus Grove Local - 049312 (Putnam),All Students,84,,100.0%,Class of 2022
Columbus Preparatory Academy - 000558 (Franklin),All Students,20,4,83.3%,Class of 2022
Conneaut Area City - 043810 (Ashtabula),All Students,87,26,77.0%,Class of 2022
Conotton Valley Union Local - 047548 (Harrison),All Students,34,,100.0%,Class of 2022
Constellation Schools: Parma Community - 133256 (Cuyahoga),All Students,80,7,92.0%,Class of 2022
Continental Local - 049320 (Putnam),All Students,39,,100.0%,Class of 2022
Copley-Fairlawn City - 049981 (Summit),All Students,186,8,95.9%,Class of 2022
Cornerstone Academy Community School - 133439 (Franklin),All Students,15,,100.0%,Class of 2022
Cory-Rawson Local - 047431 (Hancock),All Students,36,1,97.3%,Class of 2022
Coshocton City - 043828 (Coshocton),All Students,117,5,95.9%,Class of 2022
Coshocton Opportunity School - 000598 (Coshocton),All Students,29,4,87.9%,Class of 2022
Coventry Local - 049999 (Summit),All Students,147,13,91.9%,Class of 2022
Covington Exempted Village - 045336 (Miami),All Students,64,,100.0%,Class of 2022
Crestline Exempted Village - 045344 (Crawford),All Students,31,5,86.1%,Class of 2022
Crestview Local - 046433 (Columbiana),All Students,90,,100.0%,Class of 2022
Crestview Local - 049429 (Richland),All Students,85,4,95.5%,Class of 2022
Crestview Local - 050351 (Van Wert),All Students,66,1,98.5%,Class of 2022
Crestwood Local - 049189 (Portage),All Students,117,10,92.1%,Class of 2022
Crooksville Exempted Village - 045351 (Perry),All Students,66,4,94.3%,Class of 2022
Cuyahoga Falls City - 043836 (Summit),All Students,264,43,86.0%,Class of 2022
Cuyahoga Heights Local - 046557 (Cuyahoga),All Students,67,2,97.1%,Class of 2022
Cypress High School - 017497 (Richland),All Students,34,21,61.8%,Class of 2022
Dalton Local - 050542 (Wayne),All Students,68,1,98.6%,Class of 2022
Danbury Local - 048934 (Ottawa),All Students,39,2,95.1%,Class of 2022
Danville Local - 047837 (Knox),All Students,45,2,95.7%,Class of 2022
Dawson-Bryant Local - 047928 (Lawrence),All Students,86,5,94.5%,Class of 2022
Dayton Athletic Vocational Academy - 015714 (Montgomery),All Students,2,20,9.1%,Class of 2022
Dayton Business Technology High School - 008283 (Montgomery),All Students,20,14,58.8%,Class of 2022
Dayton Career Tech High School - 019426 (Montgomery),All Students,4,9,30.8%,Class of 2022
Dayton City - 043844 (Montgomery),All Students,669,276,70.8%,Class of 2022
"Dayton Early College Academy, Inc - 009283 (Montgomery)",All Students,58,4,93.5%,Class of 2022
Deer Park Community City - 043851 (Hamilton),All Students,106,4,96.4%,Class of 2022
Defiance City - 043869 (Defiance),All Students,172,1,99.4%,Class of 2022
Delaware City - 043877 (Delaware),All Students,416,24,94.5%,Class of 2022
Delphos City - 043885 (Allen),All Students,62,7,89.9%,Class of 2022
Dohn Community - 133264 (Hamilton),All Students,191,310,38.1%,Class of 2022
Dover City - 043893 (Tuscarawas),All Students,190,37,83.7%,Class of 2022
Dublin City - 047027 (Franklin),All Students,1246,47,96.4%,Class of 2022
Eagle Learning Center - 008289 (Lucas),All Students,9,23,28.1%,Class of 2022
Early College Academy - 000912 (Franklin),All Students,4,45,8.2%,Class of 2022
East Bridge Academy Of Excellence - 000938 (Franklin),All Students,<10,<10,<10,Class of 2022
East Cleveland City School District - 043901 (Cuyahoga),All Students,142,27,84.0%,Class of 2022
East Clinton Local - 046409 (Clinton),All Students,96,11,89.7%,Class of 2022
East Guernsey Local - 069682 (Guernsey),All Students,84,3,96.6%,Class of 2022
East Holmes Local - 047688 (Holmes),All Students,76,3,96.2%,Class of 2022
East Knox Local - 047845 (Knox),All Students,74,3,96.1%,Class of 2022
East Liverpool City - 043919 (Columbiana),All Students,111,22,83.5%,Class of 2022
East Muskingum Local - 048835 (Muskingum),All Students,140,7,95.2%,Class of 2022
East Palestine City - 043927 (Columbiana),All Students,69,12,85.2%,Class of 2022
Eastern Local - 048512 (Meigs),All Students,64,7,90.1%,Class of 2022
Eastern Local School District - 046037 (Brown),All Students,91,5,94.8%,Class of 2022
Eastern Local School District - 049122 (Pike),All Students,57,2,96.6%,Class of 2022
Eastwood Local - 050674 (Wood),All Students,116,4,96.7%,Class of 2022
Eaton Community City - 043935 (Preble),All Students,139,13,91.4%,Class of 2022
Edgerton Local - 050617 (Williams),All Students,48,2,96.0%,Class of 2022
Edgewood City School District - 046094 (Butler),All Students,306,26,92.2%,Class of 2022
Edison Local - 047795 (Jefferson),All Students,112,6,94.9%,Class of 2022
Edison Local (Formerly Berlin-Milan) - 046789 (Erie),All Students,105,2,98.1%,Class of 2022
Edon Northwest Local - 050625 (Williams),All Students,40,4,90.9%,Class of 2022
Elgin Local - 048413 (Marion),All Students,81,3,96.4%,Class of 2022
Elida Local - 045773 (Allen),All Students,135,19,87.7%,Class of 2022
Elmwood Local - 050682 (Wood),All Students,90,3,96.8%,Class of 2022
Elyria City Schools - 043943 (Lorain),All Students,401,59,87.2%,Class of 2022
Euclid City - 043950 (Cuyahoga),All Students,326,88,78.7%,Class of 2022
Everest High School - 011956 (Franklin),All Students,23,14,62.2%,Class of 2022
Evergreen Local - 047050 (Fulton),All Students,107,7,93.9%,Class of 2022
Fairbanks Local - 050328 (Union),All Students,92,1,98.9%,Class of 2022
Fairborn City - 043968 (Greene),All Students,280,40,87.5%,Class of 2022
Fairborn Digital Academy - 149088 (Greene),All Students,46,62,42.6%,Class of 2022
Fairfield City - 046102 (Butler),All Students,772,64,92.3%,Class of 2022
Fairfield Local - 047621 (Highland),All Students,72,2,97.3%,Class of 2022
Fairfield Union Local - 046870 (Fairfield),All Students,125,4,96.9%,Class of 2022
Fairland Local - 047936 (Lawrence),All Students,123,3,97.6%,Class of 2022
Fairlawn Local - 049775 (Shelby),All Students,50,1,98.0%,Class of 2022
Fairless Local - 049841 (Stark),All Students,124,4,96.9%,Class of 2022
Fairport Harbor Exempted Village - 045369 (Lake),All Students,53,6,89.8%,Class of 2022
Fairview Park City - 043976 (Cuyahoga),All Students,129,6,95.6%,Class of 2022
Fayette Local - 047068 (Fulton),All Students,28,1,96.6%,Class of 2022
Fayetteville-Perry Local - 046045 (Brown),All Students,58,5,92.1%,Class of 2022
Federal Hocking Local - 045914 (Athens),All Students,75,10,88.2%,Class of 2022
Felicity-Franklin Local - 046334 (Clermont),All Students,57,5,91.9%,Class of 2022
Field Local - 049197 (Portage),All Students,151,5,96.8%,Class of 2022
Findlay City - 043984 (Hancock),All Students,395,21,95.0%,Class of 2022
Findlay Digital Academy - 000402 (Hancock),All Students,64,15,81.0%,Class of 2022
Finneytown Local - 047332 (Hamilton),All Students,110,6,94.8%,Class of 2022
Firelands Local - 048157 (Lorain),All Students,143,4,97.3%,Class of 2022
Flex High School - 015237 (Franklin),All Students,36,80,31.0%,Class of 2022
Flex High School Cleveland - 019197 (Cuyahoga),All Students,2,30,6.3%,Class of 2022
Focus Learning Academy Of Southeastern Columbus - 142935 (Franklin),All Students,27,50,35.1%,Class of 2022
Focus Learning Academy Of Southwest Columbus - 142927 (Franklin),All Students,35,95,26.9%,Class of 2022
Focus North High School - 012529 (Franklin),All Students,32,71,31.1%,Class of 2022
Forest Hills Local - 047340 (Hamilton),All Students,576,23,96.2%,Class of 2022
Fort Frye Local - 050484 (Washington),All Students,81,3,96.4%,Class of 2022
Fort Loramie Local - 049783 (Shelby),All Students,67,1,98.5%,Class of 2022
Fort Recovery Local - 048595 (Mercer),All Students,75,4,94.9%,Class of 2022
Fostoria City - 043992 (Seneca),All Students,80,22,78.4%,Class of 2022
Foxfire High School - 149328 (Muskingum),All Students,87,8,91.6%,Class of 2022
Franklin City - 044008 (Warren),All Students,198,5,97.5%,Class of 2022
Franklin Local - 048843 (Muskingum),All Students,134,4,97.1%,Class of 2022
Franklin Monroe Local - 046649 (Darke),All Students,51,1,98.1%,Class of 2022
Franklinton High School - 019226 (Franklin),All Students,33,11,75.0%,Class of 2022
Franklinton Prep High School - 019201 (Franklin),All Students,28,39,41.8%,Class of 2022
Franklinton Preparatory Academy - 013892 (Franklin),All Students,<10,<10,<10,Class of 2022
Fredericktown Local - 047852 (Knox),All Students,96,1,99.0%,Class of 2022
Fremont City - 044016 (Sandusky),All Students,232,27,89.6%,Class of 2022
Frontier Local - 050492 (Washington),All Students,51,6,89.5%,Class of 2022
Gahanna-Jefferson City - 046961 (Franklin),All Students,551,45,92.4%,Class of 2022
Galion City - 044024 (Crawford),All Students,129,12,91.5%,Class of 2022
Gallia County Local - 065680 (Gallia),All Students,128,27,82.6%,Class of 2022
Gallipolis City - 044032 (Gallia),All Students,129,25,83.8%,Class of 2022
Garaway Local - 050278 (Tuscarawas),All Students,84,5,94.4%,Class of 2022
Garfield Heights City Schools - 044040 (Cuyahoga),All Students,228,35,86.7%,Class of 2022
Gem City Career Prep High School - 000813 (Montgomery),All Students,13,33,28.3%,Class of 2022
Geneva Area City - 044057 (Ashtabula),All Students,163,18,90.1%,Class of 2022
Genoa Area Local - 048942 (Ottawa),All Students,95,4,96.0%,Class of 2022
Georgetown Exempted Village - 045377 (Brown),All Students,100,2,98.0%,Class of 2022
Gibsonburg Exempted Village - 045385 (Sandusky),All Students,64,1,98.5%,Class of 2022
Girard City School District - 044065 (Trumbull),All Students,131,11,92.3%,Class of 2022
Glass City Academy - 000131 (Lucas),All Students,98,158,38.3%,Class of 2022
Goal Digital Academy - 149047 (Richland),All Students,76,108,41.3%,Class of 2022
Goshen Local - 046342 (Clermont),All Students,244,3,98.8%,Class of 2022
Graham Local - 046193 (Champaign),All Students,119,4,96.7%,Class of 2022
"Graham School, The - 133421 (Franklin)",All Students,52,9,85.2%,Class of 2022
Grand Valley Local - 045864 (Ashtabula),All Students,97,6,94.2%,Class of 2022
Grandview Heights Schools - 044073 (Franklin),All Students,77,1,98.7%,Class of 2022
Granville Exempted Village - 045393 (Licking),All Students,204,2,99.0%,Class of 2022
Great River Connections Academy - 017233 (Franklin),All Students,127,81,61.1%,Class of 2022
Greater Ohio Virtual School - 000282 (Warren),All Students,137,144,48.8%,Class of 2022
Green Local - 049619 (Scioto),All Students,42,4,91.3%,Class of 2022
Green Local - 050013 (Summit),All Students,313,11,96.6%,Class of 2022
Green Local - 050559 (Wayne),All Students,83,1,98.8%,Class of 2022
Greeneview Local - 047266 (Greene),All Students,103,2,98.1%,Class of 2022
Greenfield Exempted Village - 045401 (Highland),All Students,122,10,92.4%,Class of 2022
Greenon Local - 046235 (Clark),All Students,113,4,96.6%,Class of 2022
Greenville City - 044099 (Darke),All Students,194,26,88.2%,Class of 2022
Groveport Madison Local - 046979 (Franklin),All Students,431,35,92.5%,Class of 2022
Hamilton City - 044107 (Butler),All Students,569,125,82.0%,Class of 2022
Hamilton Local - 046953 (Franklin),All Students,177,22,88.9%,Class of 2022
Hardin Community School - 011324 (Hardin),All Students,18,,100.0%,Class of 2022
Hardin Northern Local - 047498 (Hardin),All Students,26,2,92.9%,Class of 2022
Hardin-Houston Local - 049791 (Shelby),All Students,65,6,91.5%,Class of 2022
Harrison Hills City - 045245 (Harrison),All Students,103,7,93.6%,Class of 2022
Heath City - 044115 (Licking),All Students,117,11,91.4%,Class of 2022
Hicksville Exempted Village School District - 045419 (Defiance),All Students,57,4,93.4%,Class of 2022
Highland Local - 048496 (Medina),All Students,264,14,95.0%,Class of 2022
Highland Local - 048801 (Morrow),All Students,122,7,94.6%,Class of 2022
Hilliard City - 047019 (Franklin),All Students,1241,130,90.5%,Class of 2022
Hillsboro City - 044123 (Highland),All Students,161,15,91.5%,Class of 2022
Hillsdale Local - 045823 (Ashland),All Students,65,2,97.0%,Class of 2022
Holgate Local - 047571 (Henry),All Students,30,2,93.8%,Class of 2022
Hopewell-Loudon Local - 049700 (Seneca),All Students,70,,100.0%,Class of 2022
Horizon Science Academy Columbus - 133660 (Franklin),All Students,124,4,96.9%,Class of 2022
Horizon Science Academy Dayton High School - 011534 (Montgomery),All Students,39,3,92.9%,Class of 2022
Horizon Science Academy Lorain - 011533 (Lorain),All Students,32,1,97.0%,Class of 2022
Horizon Science Academy Toledo - 000338 (Lucas),All Students,27,5,84.4%,Class of 2022
Howland Local - 050161 (Trumbull),All Students,214,9,96.0%,Class of 2022
Hubbard Exempted Village - 045427 (Trumbull),All Students,148,7,95.5%,Class of 2022
Huber Heights City - 048751 (Montgomery),All Students,368,61,85.8%,Class of 2022
Hudson City - 050021 (Summit),All Students,358,6,98.4%,Class of 2022
Huntington Local - 049502 (Ross),All Students,72,8,90.0%,Class of 2022
Huron City Schools - 044131 (Erie),All Students,105,4,96.3%,Class of 2022
Independence Local - 046565 (Cuyahoga),All Students,77,3,96.3%,Class of 2022
Indian Creek Local - 047803 (Jefferson),All Students,144,20,87.8%,Class of 2022
Indian Hill Exempted Village - 045435 (Hamilton),All Students,150,2,98.7%,Class of 2022
Indian Lake Local - 048082 (Logan),All Students,108,5,95.6%,Class of 2022
Indian Valley Local - 050286 (Tuscarawas),All Students,132,10,93.0%,Class of 2022
Interactive Media & Construction (Imac) - 000905 (Richland),All Students,<10,<10,<10,Class of 2022
Invictus High School - 133835 (Cuyahoga),All Students,32,139,18.7%,Class of 2022
Ironton City School District - 044149 (Lawrence),All Students,102,5,95.3%,Class of 2022
Jackson Center Local - 049809 (Shelby),All Students,46,,100.0%,Class of 2022
Jackson City - 044156 (Jackson),All Students,154,14,91.7%,Class of 2022
Jackson Local - 049858 (Stark),All Students,495,13,97.4%,Class of 2022
Jackson-Milton Local - 048322 (Mahoning),All Students,48,4,92.3%,Class of 2022
James A Garfield Local - 049205 (Portage),All Students,100,8,92.6%,Class of 2022
Jefferson Area Local - 045872 (Ashtabula),All Students,132,6,95.7%,Class of 2022
Jefferson Local - 048256 (Madison),All Students,87,7,92.6%,Class of 2022
Jefferson Township Local - 048686 (Montgomery),All Students,14,5,73.7%,Class of 2022
Jennings Local - 049338 (Putnam),All Students,28,,100.0%,Class of 2022
Johnstown-Monroe Local - 047985 (Licking),All Students,136,2,98.6%,Class of 2022
Jonathan Alder Local - 048264 (Madison),All Students,170,5,97.1%,Class of 2022
Joseph Badger Local - 050179 (Trumbull),All Students,49,3,94.2%,Class of 2022
