School Year,County,IRN,District,Homeschool Students
2017-2018 School Year,Hardin,045187,Ada Exempted Village,36
2017-2018 School Year,Adams,061903,Adams County Ohio Valley Local,130
2017-2018 School Year,Ross,049494,Adena Local,10
2017-2018 School Year,Summit,043489,Akron City,365
2017-2018 School Year,Athens,045906,Alexander Local,63
2017-2018 School Year,Allen,045757,Allen East Local,21
2017-2018 School Year,Stark,043497,Alliance City,30
2017-2018 School Year,Fairfield,046847,Amanda-Clearcreek Local,58
2017-2018 School Year,Lorain,045195,Amherst Exempted Village,39
2017-2018 School Year,Shelby,049759,Anna Local,17
2017-2018 School Year,Darke,046623,Ansonia Local,11
2017-2018 School Year,Lucas,048207,Anthony Wayne Local,124
2017-2018 School Year,Paulding,048991,Antwerp Local,25
2017-2018 School Year,Allen,050773,Apollo,<10
2017-2018 School Year,Hancock,047415,Arcadia Local,<10
2017-2018 School Year,Darke,046631,Arcanum-Butler Local,24
2017-2018 School Year,Fulton,047043,Archbold-Area Local,42
2017-2018 School Year,Hancock,047423,Arlington Local,37
2017-2018 School Year,Ashland,043505,Ashland City,111
2017-2018 School Year,Ashland,062042,Ashland County-West Holmes Joint Vocational School,15
2017-2018 School Year,Ashtabula,043513,Ashtabula Area City,46
2017-2018 School Year,Athens,043521,Athens City,73
2017-2018 School Year,Portage,049171,Aurora City,33
2017-2018 School Year,Mahoning,048298,Austintown Local Schools,34
2017-2018 School Year,Lorain,048124,Avon Lake City,25
2017-2018 School Year,Lorain,048116,Avon Local,28
2017-2018 School Year,Defiance,046706,Ayersville Local,11
2017-2018 School Year,Summit,043539,Barberton City,65
2017-2018 School Year,Belmont,045203,Barnesville Exempted Village,28
2017-2018 School Year,Clermont,046300,Batavia Local,64
2017-2018 School Year,Allen,045765,Bath Local,26
2017-2018 School Year,Cuyahoga,043547,Bay Village City,37
2017-2018 School Year,Cuyahoga,043554,Beachwood City,<10
2017-2018 School Year,Columbiana,046425,Beaver Local,58
2017-2018 School Year,Greene,047241,Beavercreek City,425
2017-2018 School Year,Cuyahoga,043562,Bedford City,44
2017-2018 School Year,Greene,047274,Bellbrook-Sugarcreek Local,85
2017-2018 School Year,Logan,043588,Bellefontaine City,52
2017-2018 School Year,Huron,043596,Bellevue City,35
2017-2018 School Year,Logan,048074,Benjamin Logan Local,100
2017-2018 School Year,Ottawa,048926,Benton Carroll Salem Local,12
2017-2018 School Year,Cuyahoga,043612,Berea City,90
2017-2018 School Year,Geauga,047167,Berkshire Local,65
2017-2018 School Year,Fairfield,046854,Berne Union Local,20
2017-2018 School Year,Miami,048611,Bethel Local,80
2017-2018 School Year,Clermont,046318,Bethel-Tate Local,42
2017-2018 School Year,Franklin,043620,Bexley City,<10
2017-2018 School Year,Delaware,046748,Big Walnut Local,144
2017-2018 School Year,Medina,048462,Black River Local,68
2017-2018 School Year,Fairfield,046862,Bloom-Carroll Local,93
2017-2018 School Year,Trumbull,050096,Bloomfield-Mespo Local,41
2017-2018 School Year,Scioto,049593,Bloom-Vernon Local,<10
2017-2018 School Year,Allen,045211,Bluffton Exempted Village,32
2017-2018 School Year,Mahoning,048306,Boardman Local,<10
2017-2018 School Year,Shelby,049767,Botkins Local,11
2017-2018 School Year,Wood,043638,Bowling Green City School District,101
2017-2018 School Year,Miami,045229,Bradford Exempted Village,23
